+-------------------------------------------------------------------------------------+
| actor                                                             |  average rating |
| Rachel Shelley                                                    |             8.1 |
| Haley Joel Osment                                                 |             8.1 |
| Olivia Williams                                                   |             8.1 |
| Laura Linney                                                      |             8.1 |
| Noah Emmerich                                                     |             8.1 |
| Jeff Bridges                                                      |             8.1 |
| Julianne Moore                                                    |             8.1 |
| Tony Chiu-Wai Leung                                               |             8.1 |
| Maggie Cheung                                                     |             8.1 |
| Ping Lam Siu                                                      |             8.1 |
| Tung Cho `Joe` Cheung                                             |             8.1 |
| Ewan McGregor                                                     |             8.1 |
| Ewen Bremner                                                      |             8.1 |
| Jonny Lee Miller                                                  |             8.1 |
| Kevin McKidd                                                      |             8.1 |
| William H. Macy                                                   |             8.1 |
| Peter Stormare                                                    |             8.1 |
| Vincent Cassel                                                    |             8.1 |
| Hubert Koundé                                                     |             8.1 |
| Saïd Taghmaoui                                                    |             8.1 |
| Abdel Ahmed Ghili                                                 |             8.1 |
| Andrea Eckert                                                     |             8.1 |
| Hanno Pöschl                                                      |             8.1 |
| Sam Neill                                                         |             8.1 |
| Laura Dern                                                        |             8.1 |
| Jeff Goldblum                                                     |             8.1 |
| Pete Postlethwaite                                                |             8.1 |
| Alison Crosbie                                                    |             8.1 |
| Philip King                                                       |             8.1 |
| Robert Sean Leonard                                               |             8.1 |
| Josh Charles                                                      |             8.1 |
| Cary Elwes                                                        |             8.1 |
| Mandy Patinkin                                                    |             8.1 |
| Chris Sarandon                                                    |             8.1 |
| Wil Wheaton                                                       |             8.1 |
| River Phoenix                                                     |             8.1 |
| Corey Feldman                                                     |             8.1 |
| Jerry O`Connell                                                   |             8.1 |
| Charlie Sheen                                                     |             8.1 |
| Tom Berenger                                                      |             8.1 |
| Keith David                                                       |             8.1 |
| Harry Dean Stanton                                                |             8.1 |
| Nastassja Kinski                                                  |             8.1 |
| Dean Stockwell                                                    |             8.1 |
| Aurore Clément                                                    |             8.1 |
| Sumi Shimamoto                                                    |             8.1 |
| Mahito Tsujimura                                                  |             8.1 |
| Hisako Kyôda                                                      |             8.1 |
| Gorô Naya                                                         |             8.1 |
| Kurt Russell                                                      |             8.1 |
| Wilford Brimley                                                   |             8.1 |
| Richard Masur                                                     |             8.1 |
| Bertil Guve                                                       |             8.1 |
| Pernilla Allwin                                                   |             8.1 |
| Kristina Adolphson                                                |             8.1 |
| Börje Ahlstedt                                                    |             8.1 |
| Rutger Hauer                                                      |             8.1 |
| Sean Young                                                        |             8.1 |
| Edward James Olmos                                                |             8.1 |
| Anne Bancroft                                                     |             8.1 |
| John Gielgud                                                      |             8.1 |
| Michael Palin                                                     |             8.1 |
| John Cazale                                                       |             8.1 |
| John Savage                                                       |             8.1 |
| Sylvester Stallone                                                |             8.1 |
| Talia Shire                                                       |             8.1 |
| Burt Young                                                        |             8.1 |
| Carl Weathers                                                     |             8.1 |
| Peter Finch                                                       |             8.1 |
| Ryan O`Neal                                                       |             8.1 |
| Marisa Berenson                                                   |             8.1 |
| Hardy Krüger                                                      |             8.1 |
| George Kennedy                                                    |             8.1 |
| J.D. Cannon                                                       |             8.1 |
| Liv Ullmann                                                       |             8.1 |
| Margaretha Krook                                                  |             8.1 |
| Jean-Pierre Léaud                                                 |             8.1 |
| Albert Rémy                                                       |             8.1 |
| Claire Maurier                                                    |             8.1 |
| Guy Decomble                                                      |             8.1 |
| Charlton Heston                                                   |             8.1 |
| Stephen Boyd                                                      |             8.1 |
| Haya Harareet                                                     |             8.1 |
| Sessue Hayakawa                                                   |             8.1 |
| Karl Malden                                                       |             8.1 |
| Rod Steiger                                                       |             8.1 |
| Yves Montand                                                      |             8.1 |
| Charles Vanel                                                     |             8.1 |
| Peter van Eyck                                                    |             8.1 |
| Folco Lulli                                                       |             8.1 |
| Jan Sterling                                                      |             8.1 |
| Robert Arthur                                                     |             8.1 |
| Porter Hall                                                       |             8.1 |
| Alida Valli                                                       |             8.1 |
| Trevor Howard                                                     |             8.1 |
| Laurence Olivier                                                  |             8.1 |
| Joan Fontaine                                                     |             8.1 |
| Judith Anderson                                                   |             8.1 |
| Jean Arthur                                                       |             8.1 |
| Edward Arnold                                                     |             8.1 |
| Clark Gable                                                       |             8.1 |
| Vivien Leigh                                                      |             8.1 |
| Barbara O`Neil                                                    |             8.1 |
| Claudette Colbert                                                 |             8.1 |
| Walter Connolly                                                   |             8.1 |
| Roscoe Karns                                                      |             8.1 |
| Maria Falconetti                                                  |             8.1 |
| Eugene Silvain                                                    |             8.1 |
| André Berley                                                      |             8.1 |
| Maurice Schutz                                                    |             8.1 |
| Marion Mack                                                       |             8.1 |
| Glen Cavender                                                     |             8.1 |
| Jim Farley                                                        |             8.1 |
| Steve Buscemi                                                     |             8.1 |
| Ethan Hawke                                                       |             8.1 |
| John Goodman                                                      |             8.1 |
| Julie Delpy                                                       |             8.1 |
| Strother Martin                                                   |             8.1 |
| Vernon Dobtcheff                                                  |             8.0 |
| Louise Lemoine Torrès                                             |             8.0 |
| Billy Crystal                                                     |             8.0 |
| Mary Gibbs                                                        |             8.0 |
| Scott Weinger                                                     |             8.0 |
| Linda Larkin                                                      |             8.0 |
| Jonathan Freeman                                                  |             8.0 |
| Mitsuo Iwata                                                      |             8.0 |
| Nozomu Sasaki                                                     |             8.0 |
| Mami Koyama                                                       |             8.0 |
| Tesshô Genda                                                      |             8.0 |
| Paul Winfield                                                     |             8.0 |
| Katharine Ross                                                    |             8.0 |
+-------------------------------------------------------------------------------------+
