+-------------------------------------------------------------------------------------+
| movie                                                             | position in rating |
| Рашьомон                                                          |             166 |
| Усе про Єву                                                       |             167 |
| Скарби Сьєрра-Мадре                                               |             168 |
| Бути чи не бути                                                   |             169 |
| Золота лихоманка                                                  |             170 |
| Шерлок молодший                                                   |             171 |
| Невидимий гість                                                   |             172 |
| Служниця                                                          |             173 |
| Логан: Росомаха                                                   |             174 |
| Кімната                                                           |             175 |
| Дикі історії                                                      |             176 |
| ПіКей                                                             |             177 |
| Готель «Ґранд Будапешт»                                           |             178 |
| Загублена                                                         |             179 |
| З міркувань совісті                                               |             180 |
| Думками навиворіт                                                 |             181 |
| 12 років рабства                                                  |             182 |
| Гонка                                                             |             183 |
| Аутсайдери                                                        |             184 |
| У центрі уваги                                                    |             185 |
| Прислуга                                                          |             186 |
| Полонянки                                                         |             187 |
| Шалений Макс: Дорога гніву                                        |             188 |
| Ґран Торіно                                                       |             189 |
| Гаррі Поттер і смертельні реліквії: Частина 2                     |             190 |
| Острів проклятих                                                  |             191 |
| Хатіко: Вірний друг                                               |             192 |
| Мері та Макс                                                      |             193 |
| Як приборкати дракона                                             |             194 |
| Тепер я йду в дику далечінь                                       |             195 |
| Старим тут не місце                                               |             196 |
| Крихітка на мільйон доларів                                       |             197 |
| Готель Руанда                                                     |             198 |
| Спогади про вбивство                                              |             199 |
| Убити Білла                                                       |             200 |
| У пошуках Немо                                                    |             201 |
| Впіймай мене, якщо зможеш                                         |             202 |
| Сука любов                                                        |             203 |
| Лаґаан: Одного разу в Індії                                       |             204 |
| Шосте чуття                                                       |             205 |
| Шоу Трумена                                                       |             206 |
| Великий Лебовські                                                 |             207 |
| Любовний настрій                                                  |             208 |
| На голці                                                          |             209 |
| Фарґо                                                             |             210 |
| Ненависть                                                         |             211 |
| До сходу сонця                                                    |             212 |
| Парк Юрського періоду                                             |             213 |
| В ім`я батька                                                     |             214 |
| Спілка мертвих поетів                                             |             215 |
| Принцеса-наречена                                                 |             216 |
| Залишся зі мною                                                   |             217 |
| Взвод                                                             |             218 |
| Париж, Техас                                                      |             219 |
| Навсікая з Долини Вітрів                                          |             220 |
| Щось                                                              |             221 |
| Фанні та Олександр                                                |             222 |
| Той, хто біжить по лезу                                           |             223 |
| Людина-слон                                                       |             224 |
| Буття Брайана за Монті Пайтоном                                   |             225 |
| Мисливець на оленів                                               |             226 |
| Роккі                                                             |             227 |
| Телемережа                                                        |             228 |
| Баррі Ліндон                                                      |             229 |
| Холоднокровний Люк                                                |             230 |
| Персона                                                           |             231 |
| Чотириста ударів                                                  |             232 |
| Бен-Гур                                                           |             233 |
| Міст через річку Квай                                             |             234 |
| У порту                                                           |             235 |
| Плата за страх                                                    |             236 |
| Туз у рукаві                                                      |             237 |
| Третя людина                                                      |             238 |
| Ребекка                                                           |             239 |
| Містер Сміт їде до Вашингтона                                     |             240 |
| Віднесені вітром                                                  |             241 |
| Це сталося якось вночі                                            |             242 |
| Страсті Жанни Д`Арк                                               |             243 |
| Генерал                                                           |             244 |
| Перед заходом сонця                                               |             245 |
| Корпорація монстрів                                               |             246 |
| Аладдін                                                           |             247 |
| Акіра                                                             |             248 |
| Термінатор                                                        |             249 |
| Бутч Кессіді та Санденс Кід                                       |             250 |
+-------------------------------------------------------------------------------------+
