+-------------------------------------------------------------------------------------+
| actor                                                             | number of films |
| Michael Palin                                                     |               1 |
| John Cazale                                                       |               1 |
| John Savage                                                       |               1 |
| Sylvester Stallone                                                |               1 |
| Talia Shire                                                       |               1 |
| Burt Young                                                        |               1 |
| Carl Weathers                                                     |               1 |
| Peter Finch                                                       |               1 |
| Ryan O`Neal                                                       |               1 |
| Marisa Berenson                                                   |               1 |
| Hardy Krüger                                                      |               1 |
| George Kennedy                                                    |               1 |
| J.D. Cannon                                                       |               1 |
| Liv Ullmann                                                       |               1 |
| Margaretha Krook                                                  |               1 |
| Jean-Pierre Léaud                                                 |               1 |
| Albert Rémy                                                       |               1 |
| Claire Maurier                                                    |               1 |
| Guy Decomble                                                      |               1 |
| Charlton Heston                                                   |               1 |
| Stephen Boyd                                                      |               1 |
| Haya Harareet                                                     |               1 |
| Sessue Hayakawa                                                   |               1 |
| Karl Malden                                                       |               1 |
| Rod Steiger                                                       |               1 |
| Yves Montand                                                      |               1 |
| Charles Vanel                                                     |               1 |
| Peter van Eyck                                                    |               1 |
| Folco Lulli                                                       |               1 |
| Jan Sterling                                                      |               1 |
| Robert Arthur                                                     |               1 |
| Porter Hall                                                       |               1 |
| Alida Valli                                                       |               1 |
| Trevor Howard                                                     |               1 |
| Laurence Olivier                                                  |               1 |
| Joan Fontaine                                                     |               1 |
| Judith Anderson                                                   |               1 |
| Jean Arthur                                                       |               1 |
| Edward Arnold                                                     |               1 |
| Vivien Leigh                                                      |               1 |
| Barbara O`Neil                                                    |               1 |
| Claudette Colbert                                                 |               1 |
| Walter Connolly                                                   |               1 |
| Roscoe Karns                                                      |               1 |
| Maria Falconetti                                                  |               1 |
| Eugene Silvain                                                    |               1 |
| André Berley                                                      |               1 |
| Maurice Schutz                                                    |               1 |
| Marion Mack                                                       |               1 |
| Glen Cavender                                                     |               1 |
| Jim Farley                                                        |               1 |
| Vernon Dobtcheff                                                  |               1 |
| Louise Lemoine Torrès                                             |               1 |
| Billy Crystal                                                     |               1 |
| Mary Gibbs                                                        |               1 |
| Scott Weinger                                                     |               1 |
| Linda Larkin                                                      |               1 |
| Jonathan Freeman                                                  |               1 |
| Mitsuo Iwata                                                      |               1 |
| Nozomu Sasaki                                                     |               1 |
| Mami Koyama                                                       |               1 |
| Tesshô Genda                                                      |               1 |
| Paul Winfield                                                     |               1 |
| Katharine Ross                                                    |               1 |
+-------------------------------------------------------------------------------------+
